"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
LB-001-PRO-2-0.75-R,LB-001,,0,
LB-002-PRO-2-0.75-L,LB-002,,0,
LB-003-PRO-2-1-R,LB-003,,0,
LB-004-PRO-2-1-L,LB-004,,0,
LB-005-PRO-2-1.25-R,LB-005,,0,
LB-006-PRO-2-1.25-L,LB-006,,0,
LB-007-PRO-2-1.5-R,LB-007,,0,
LB-008-PRO-2-1.5-L,LB-008,,0,
LB-009-PRO-2-1.75-R,LB-009,,0,
LB-010-PRO-2-1.75-L,LB-010,,0,
LB-011-PRO-2-2-R,LB-011,,0,
LB-012-PRO-2-2-L,LB-012,,0,
LB-013-PRO-2-2.25-R,LB-013,,0,
LB-014-PRO-2-2.25-L,LB-014,,0,
LB-015-PRO-2-2.5-R,LB-015,,0,
LB-016-PRO-2-2.5-L,LB-016,,0,
LB-017-PRO-2-2.75-R,LB-017,,0,
LB-018-PRO-2-2.75-L,LB-018,,0,
LB-019-PRO-2-3-R,LB-019,,0,
LB-020-PRO-2-3-L,LB-020,,0,
LB-021-PRO-2-3.25-R,LB-021,,0,
LB-022-PRO-2-3.25-L,LB-022,,0,
LB-023-PRO-2-3.5-R,LB-023,,0,
LB-024-PRO-2-3.5-L,LB-024,,0,
LB-025-PRO-2-3.75-R,LB-025,,0,
LB-026-PRO-2-3.75-L,LB-026,,0,
LB-027-PRO-2-4-R,LB-027,,0,
LB-028-PRO-2-4-L,LB-028,,0,
LB-029-PRO-3-0.75-R,LB-029,,0,
LB-030-PRO-3-0.75-L,LB-030,,0,
LB-031-PRO-3-1-R,LB-031,,0,
LB-032-PRO-3-1-L,LB-032,,0,
LB-033-PRO-3-1.25-R,LB-033,,0,
LB-034-PRO-3-1.25-L,LB-034,,0,
LB-035-PRO-3-1.5-R,LB-035,,0,
LB-036-PRO-3-1.5-L,LB-036,,0,
LB-037-PRO-3-1.75-R,LB-037,,0,
LB-038-PRO-3-1.75-L,LB-038,,0,
LB-039-PRO-3-2-R,LB-039,,0,
LB-040-PRO-3-2-L,LB-040,,0,
LB-041-PRO-3-2.25-R,LB-041,,0,
LB-042-PRO-3-2.25-L,LB-042,,0,
LB-043-PRO-3-2.5-R,LB-043,,0,
LB-044-PRO-3-2.5-L,LB-044,,0,
LB-045-PRO-3-2.75-R,LB-045,,0,
LB-046-PRO-3-2.75-L,LB-046,,0,
LB-047-PRO-3-3-R,LB-047,,0,
LB-048-PRO-3-3-L,LB-048,,0,
LB-049-PRO-3-3.25-R,LB-049,,0,
LB-050-PRO-3-3.25-L,LB-050,,0,
LB-051-PRO-3-3.5-R,LB-051,,0,
LB-052-PRO-3-3.5-L,LB-052,,0,
LB-053-PRO-3-3.75-R,LB-053,,0,
LB-054-PRO-3-3.75-L,LB-054,,0,
LB-055-PRO-3-4-R,LB-055,,0,
LB-056-PRO-3-4-L,LB-056,,0,
LB-057-PRO-4-0.75-R,LB-057,,0,
LB-058-PRO-4-0.75-L,LB-058,,0,
